date,id,opponentRanking,result,opponent
2016-04-20,8318445,708,-1,caringmass
2016-04-20,8316731,947,-1,TKchess
2016-04-20,8316725,475,-1,PointlessSpy
2016-04-20,8316659,711,-1,FlyingTire
2016-04-22,8330041,820,-1,Rivertiger
2016-04-22,8329801,692,-1,PowerfulSmile
2016-04-22,8329766,1019,-1,LivelyDeer
2016-04-22,8329764,638,1,GreatAlarm
2016-04-22,8329738,611,1,alexawesome
2016-04-22,8329709,499,1,Saifnoaman211
2016-04-18,8303677,514,1,Sbrooke
2016-04-18,8303670,559,1,Sudhit2014
2016-04-18,8303657,562,1,Sudhit2014
2016-04-18,8303254,1148,-1,PuffyScaro
2016-04-18,8303252,500,1,WarAction
2016-04-18,8303139,1076,-1,MiniatureFire
2016-04-18,8303093,890,-1,ccaneev
2016-04-18,8302920,447,1,thestatueofKittenty
2016-04-18,8302635,823,-1,CopperGrate
2016-04-17,8298186,600,1,GeoJhon
2016-04-17,8298003,916,-1,ChessNYCNoahG
2016-04-17,8297987,734,1,CheckM8X
2016-04-17,8296438,935,-1,FantasticLeg
2016-04-17,8296348,1290,-1,NorthlandBanneret
2016-04-20,8316634,488,1,WarAction
2016-04-20,8315960,823,-1,mob9644560778bharat
2016-04-20,8315886,943,-1,BrightTent
2016-04-20,8315750,505,1,CoralMint
2016-04-20,8315655,1077,-1,VolatileInvention
2016-04-20,8315633,585,1,thivya
2016-04-22,8329648,840,0,anirudh2010
2016-04-21,8325124,686,1,MaestroLeon
2016-04-21,8323845,997,-1,ElatedMongoose
2016-04-21,8323800,807,1,drief
2016-04-26,8357363,598,1,BatemanJorge
2016-04-26,8357359,638,1,Kev
2016-04-26,8357340,601,1,batemanjosephine
2016-04-26,8357324,639,1,Kev
2016-04-25,8352357,924,-1,TKchess
2016-04-25,8352158,826,1,SwallowTail
2016-04-25,8350269,1056,-1,Knight13
2016-04-25,8350190,1094,-1,MiniatureFire
2016-04-25,8349940,1045,1,LastPool
2016-04-25,8349937,821,1,AbrasiveTurtle
2016-04-25,8349927,249,1,DaffyHope
2016-04-25,8349698,1046,-1,NP162A14BM
2016-05-02,8401645,912,1,Milan2008
2016-05-02,8400583,658,1,StTBrandon
2016-05-02,8400573,569,1,vikivicky
2016-05-02,8400559,440,1,DisgustingEarthquake
2016-05-02,8400556,681,1,SmileyMaple
2016-05-02,8400535,928,1,KavinVenkat
2016-05-01,8397318,894,0,hemant_jha
2016-05-01,8396946,711,-1,Pernhaven
2016-05-01,8396766,689,1,Pernhaven
2016-05-01,8396759,517,1,TallPlanet
2016-05-01,8396593,629,1,ElatedQuicksand
2016-05-01,8393403,946,-1,NeedlessSmoke
2016-04-28,8372918,1113,-1,nutankamdar
2016-04-28,8372866,834,1,NoisyCap
2016-04-28,8372262,1005,-1,Loruz
2016-04-28,8372260,1045,1,GreatChin
2016-04-28,8371095,859,1,karons
2016-04-28,8371032,584,1,NP162C19BM
2016-04-27,8367996,703,1,ethanram1
2016-04-27,8367969,617,1,PreviousBaboon
2016-04-27,8367938,516,1,AfraidFlag
2016-04-27,8365631,636,1,ESMSMonafA
2016-04-27,8365624,514,1,FuturisticAnswer
2016-04-27,8365487,674,1,SkillfulNacho
2016-04-24,8347055,889,1,MontevalloYordan
2016-04-24,8346954,708,1,ListeningGopher
2016-04-24,8346947,527,1,FourEarthworm
2016-04-24,8346820,737,1,Nithish_CreigtonsCar
2016-04-24,8344249,897,-1,SilentIris
2016-04-24,8343102,824,-1,MSHSManomai
2016-04-24,8343088,520,1,Aristea1
2016-04-24,8343055,575,1,SMPSNickyC
2016-04-30,8389701,1069,-1,Eeltsje
2016-04-30,8389533,1064,-1,Eeltsje
2016-04-30,8386123,630,1,BugBuster
2016-04-30,8386121,734,1,JaggedAirport
2016-04-29,8382045,553,1,minicarlsen2016
2016-04-29,8379231,845,1,NinjaInventor
2016-04-29,8379211,619,1,AlliRook
2016-04-29,8378958,1121,-1,ThirdYear
2016-04-27,8365255,1060,-1,FixedFog
2016-04-27,8364534,720,1,davidxadrez
2016-04-27,8364514,670,1,MovingAnt
2016-04-27,8364092,913,-1,airhouse
2016-04-27,8364077,411,1,GallopingEnergy
2016-04-27,8364022,841,1,Tamcahan
2016-04-26,8357859,752,-1,EasyCause
2016-04-26,8357366,513,1,EmeraldTank
2016-05-04,8414485,699,1,Abhinavskamath
2016-05-04,8414383,864,-1,michal1916
2016-05-04,8414365,604,1,thivya
2016-05-03,8409833,1153,-1,NameOfRoyalty
2016-05-03,8409790,1019,-1,MellowDragon
2016-05-03,8409762,622,1,MontevalloNathan1
2016-05-03,8409637,908,1,FlawlessFoxtrot
2016-05-03,8409500,1388,-1,StrongCell
2016-05-03,8409496,629,1,WS2013796
2016-05-03,8408290,792,-1,frankthedog
2016-05-03,8408276,478,1,ChattyMink
2016-05-03,8408232,735,1,RunningKnowledge
2016-05-03,8408228,852,1,brabo
2016-05-03,8408200,670,1,Dewey_SB
2016-05-03,8408195,726,1,BraveJustice
2016-05-02,8403517,747,1,MillenniumDBOliver
2016-05-02,8403515,1165,1,GreatChin
2016-05-02,8403448,1062,-1,dhruva2011
2016-05-02,8402499,884,-1,GreedyElectricity
2016-05-02,8401708,804,-1,SnazzyGiraffe
2016-05-15,8490602,869,-1,DynamicPeacock
2016-05-15,8490584,1055,1,SwimmingLark
2016-05-15,8490544,683,-1,mohaarna
2016-05-14,8486335,1475,-1,TwinTurboPantera
2016-05-13,8476639,901,1,sureeca
2016-05-13,8476302,1007,-1,HandsomeFeast
2016-05-08,8443031,929,1,jenstf
2016-05-06,8429010,1002,-1,EarthyDinosaur
2016-05-06,8428978,546,1,BeamingCrown
2016-05-06,8428529,939,-1,ReflectiveEclipse
2016-05-06,8428524,360,1,AtomicFox
2016-05-05,8425611,621,1,goktugbas
2016-05-05,8425547,935,1,MichelleHua
2016-05-05,8425542,985,0,james_maxwell
2016-05-05,8425309,954,-1,TalentedFog
2016-05-05,8422417,1179,-1,GrandpaMiki
2016-05-05,8421379,786,1,GlibCorn
2016-05-05,8421359,1109,1,GoldModem
2016-05-04,8414505,1128,-1,G111G
2016-05-04,8414487,823,1,GreedyElectricity
2016-05-20,8525473,864,-1,RunningKnowledge
2016-05-20,8525463,1070,-1,Amrutanshu
2016-05-20,8525437,668,1,Trysnuliai20101119
2016-05-19,8522626,1421,-1,Mum_of_3_chesslets
2016-05-19,8520130,1080,-1,PoisedMaster
2016-05-19,8519936,811,1,UltraDuck
2016-05-19,8519623,925,1,idlbsl
2016-05-19,8519596,525,1,fire_ball
2016-05-19,8519290,1033,-1,BrainyFuel
2016-05-19,8519282,1302,1,TremendousYak
2016-05-19,8518785,1251,-1,RCCELITEFORCE
2016-05-19,8518772,1143,-1,NeedlessSmoke
2016-05-18,8511489,1293,-1,AiryZookeeper
2016-05-18,8511217,891,-1,AdventurousMatch
2016-05-30,8587050,971,1,HalfBallerina
2016-05-30,8586886,907,-1,HowardG
2016-05-27,8569209,697,1,TalkingMovie
2016-05-26,8562148,938,0,CoolingPiece
2016-05-26,8562113,685,1,zachary123
2016-05-26,8562093,715,1,OddStream
2016-05-25,8556779,939,1,CrazyJordan
2016-05-25,8556492,713,1,ShortTrail
2016-05-23,8544871,1075,-1,yanoviz
2016-05-23,8544869,783,1,chessmann
2016-05-23,8544868,550,1,CyclingBeard
2016-05-23,8544793,788,0,chessmann
2016-05-22,8542008,745,1,CaringTurnip
2016-05-22,8541896,749,-1,CaringTurnip
2016-05-17,8507047,1162,-1,AiryZookeeper
2016-05-17,8506882,1109,-1,Cule
2016-05-17,8504732,861,1,ahmetkagan_kuru
2016-05-17,8504612,1207,-1,NP166F31BM
2016-05-17,8504045,905,-1,sureeca
2016-05-17,8504016,873,1,Mikheil
2016-05-21,8532561,914,-1,karons
2016-05-20,8526949,1006,-1,Dariusch
2016-05-20,8526843,1167,-1,NeedlessSmoke
2016-05-20,8525698,1194,-1,BroadTank
2016-05-20,8525635,875,1,aaryaveer
2016-05-20,8525514,608,1,PaleJuice
2016-06-01,8601247,725,1,RightOil
2016-06-01,8600421,891,-1,shoac
2016-06-01,8600058,975,-1,lefteris
2016-06-01,8599191,1005,-1,WeakLint
2016-06-01,8599156,1093,-1,LivelyDeer
2016-06-01,8599120,942,1,OddUkulele
2016-05-31,8595526,782,1,rpawlowski
2016-05-31,8595482,1144,-1,SF-Sampson
2016-05-31,8595459,658,1,Peio2006
2016-05-31,8595456,661,1,Peio2006
2016-05-31,8593544,780,1,BronzeStew
2016-05-31,8593525,472,1,FeebleGrass
2016-05-31,8593114,1016,1,SeriousDonkey
2016-05-31,8592820,905,-1,AliveCopy
2016-05-30,8588925,1101,-1,SAH4Brewington
2016-05-30,8588903,572,1,Anesu2006
2016-05-30,8588821,860,-1,OneDancer
2016-05-30,8588804,682,1,AASB
2016-05-30,8588706,860,-1,AutomaticMoment
2016-05-30,8587073,1000,-1,HalfBallerina
2016-06-09,8650387,821,-1,BraveMaze
2016-06-07,8640400,930,1,NoiselessJar
